travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
0.6666666666666666,0,Human,1,0,0,0,-0.6666666666666666,"-0.27739380849532036,-0.6666571566056593"
0.7,20,Human,1,0,0,0,-0.7,"-0.284060475161987,-0.7005491392671814"
0.75,21,Human,1,0,0,0,-0.75,"-0.404060475161987,-0.7502387589948982"
1.1666666666666667,1,Human,0,0,0,1,-1.1666666666666667,"-1.2130921876369367,-0.5296597072234221"
1.8166666666666667,2,Human,0,0,0,2,-1.8166666666666667,"-1.64289634687717,-0.4597413006959443"
1.8333333333333333,3,Human,0,0,0,3,-1.8333333333333333,"-1.8017697843447038,-0.5215263738900888"
0.8666666666666667,4,Human,1,0,0,4,-0.8666666666666667,"-0.8495320374370051,-0.8673378438714063"
0.9,5,Human,1,0,0,5,-0.9,"-0.5507271418286537,-0.8942728565184089"
1.0166666666666666,6,Human,1,0,0,6,-1.0166666666666666,"-0.5225817134629229,-1.0106831942113945"
1.8333333333333333,7,Human,0,0,0,7,-1.8333333333333333,"-1.801637528648505,-0.7329544324454045"
1.85,8,Human,0,0,0,8,-1.85,"-1.8086119326272367,-0.8216593700983923"
1.85,9,Human,0,0,0,9,-1.85,"-1.8203578843629304,-0.5284079673626111"
1.1666666666666667,10,Human,1,0,0,10,-1.1666666666666667,"-0.5340604751619871,-1.1688852178485143"
1.8666666666666667,11,Human,0,0,0,11,-1.8666666666666667,"-1.8261101970374358,-0.6949930405567556"
1.2,12,Human,1,0,0,12,-1.2,"-0.5573938084953203,-1.1959278458444265"
1.2166666666666666,13,Human,1,0,0,13,-1.2166666666666666,"-1.0048653707703386,-1.2167145024943333"
1.25,14,Human,1,0,0,14,-1.25,"-0.7992483801295897,-1.2411378483874675"
1.3333333333333333,15,Human,1,0,0,15,-1.3333333333333333,"-0.7779150467962563,-1.332855038451131"
1.3666666666666667,16,Human,1,0,0,16,-1.3666666666666667,"-0.9611320374370051,-1.3681880315374706"
1.3666666666666667,17,Human,1,0,0,17,-1.3666666666666667,"-0.955932037437005,-1.3695836360339124"
1.4166666666666667,18,Human,1,0,0,18,-1.4166666666666667,"-0.5273938084953204,-1.4086815495471576"
1.5,19,Human,1,0,0,19,-1.5,"-0.2217422606191504,-1.4953207807340176"
